from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
11,0,25,5,5,7,5,0,3,28,3,3,9,4,1,2,5,4,2,12,5,1,3,25,5,5,6,1,1,4,20,82,102
13,0,29,2,2,7,2,0,2,28,2,2,11,1,1,1,13,0,0,0,3,0,0,29,2,2,12,4,1,1,27,98,125
12,0,30,2,2,0,3,0,0,29,2,2,11,4,1,1,7,4,1,7,2,1,3,30,2,2,12,4,1,1,49,76,125
14,0,28,2,2,7,2,1,3,27,2,2,11,4,1,1,14,1,1,0,3,0,1,28,2,2,12,4,1,1,33,92,125
12,0,30,3,3,0,5,0,1,29,2,2,11,4,1,1,9,4,2,7,2,1,3,30,3,3,12,4,1,2,49,76,125
15,0,20,4,4,13,5,1,3,21,3,3,6,4,1,2,6,3,0,9,5,0,3,20,4,4,5,4,1,3,10,86,96
12,0,29,3,3,0,5,0,1,29,2,2,11,4,1,1,9,4,2,7,5,1,3,29,3,3,11,4,1,2,49,76,125
15,0,20,4,4,14,5,1,4,21,3,3,6,4,1,2,5,3,0,10,5,0,3,20,4,4,5,4,1,3,11,85,96
12,0,24,4,4,9,5,0,3,25,3,3,7,4,1,2,3,3,1,13,5,1,2,24,4,4,6,4,1,3,24,76,100
15,0,19,4,4,14,2,1,4,21,3,3,6,4,1,2,5,3,0,10,2,0,3,19,4,4,4,4,1,3,11,85,96
12,0,22,4,4,10,2,0,2,23,3,3,5,4,1,2,4,5,1,14,2,1,4,22,4,4,4,1,1,3,20,76,96
15,0,19,3,3,15,5,1,3,19,2,2,4,1,1,1,4,3,0,11,2,0,3,19,3,3,4,4,1,2,6,85,91
10,0,25,4,4,13,5,1,2,27,3,3,7,4,1,2,5,3,2,9,5,0,3,25,4,4,5,4,1,3,34,67,101
10,0,24,4,4,10,5,0,2,25,3,3,5,4,1,2,6,4,1,14,5,1,3,24,4,4,4,1,1,3,28,67,95
7,0,26,2,2,11,5,1,3,26,1,1,3,4,1,0,8,3,2,15,1,1,2,26,2,2,3,1,1,1,31,55,86
9,0,22,1,1,12,4,1,2,19,2,1,0,2,1,1,3,5,1,12,4,1,4,22,1,1,1,4,1,0,13,61,74
7,0,19,3,1,9,1,1,2,21,2,2,0,2,0,2,1,4,0,8,4,1,3,19,3,1,0,2,1,2,5,55,60
9,0,22,1,1,11,4,1,2,19,2,1,0,2,1,1,2,5,1,11,4,1,4,22,1,1,1,4,1,0,13,61,74
6,0,20,2,1,7,1,1,3,21,2,2,1,5,0,2,2,4,1,8,4,1,3,20,2,1,0,5,0,2,8,49,57
4,0,29,3,3,11,2,1,2,29,2,2,3,1,1,1,11,4,2,15,1,1,3,29,3,3,3,1,1,2,50,40,90
5,0,27,2,2,12,2,1,4,26,1,1,1,4,1,0,9,3,2,14,4,1,2,27,2,2,2,1,1,1,40,43,83
4,0,20,3,2,5,4,1,3,19,3,3,5,5,0,3,2,3,1,6,4,1,2,20,3,2,2,5,1,2,6,40,46
2,0,22,2,1,7,4,1,2,23,2,2,3,5,0,2,4,4,2,6,4,1,3,22,2,1,2,5,0,2,25,28,53
3,0,23,3,1,9,1,1,2,25,3,2,0,2,1,2,6,4,3,9,4,1,3,23,3,1,0,2,1,2,32,34,66
3,0,23,3,1,9,1,1,3,25,3,2,0,2,1,2,6,4,3,9,4,1,3,23,3,1,0,2,1,2,32,34,66
11,0,20,1,1,0,2,1,1,30,5,5,11,4,1,4,30,3,3,11,4,1,2,20,1,1,1,4,1,0,50,102,152
11,0,9,3,2,8,5,0,3,23,3,3,4,4,1,2,22,4,4,3,4,1,3,9,3,2,6,5,1,2,10,103,113
11,0,6,5,2,11,2,1,4,21,2,2,2,1,1,1,21,3,3,2,1,1,2,6,5,2,9,5,1,4,2,103,105
12,0,12,3,1,3,5,0,2,24,4,4,6,1,1,3,25,4,4,7,4,1,3,12,3,1,2,2,0,3,34,97,131
14,0,17,1,1,0,5,1,0,28,5,5,12,4,1,4,28,3,3,12,4,1,2,17,1,1,1,4,1,0,71,88,159
14,0,17,1,1,0,2,1,1,28,5,5,12,4,1,4,28,3,3,12,4,1,2,17,1,1,1,4,1,0,71,88,159
14,0,17,1,1,0,2,1,2,27,5,5,11,4,1,4,27,3,3,11,4,1,2,17,1,1,1,4,1,0,71,88,159
14,0,14,3,0,0,5,0,2,23,4,4,7,4,1,3,25,4,4,9,4,1,3,14,3,0,0,2,0,3,56,88,144
14,0,10,3,0,6,5,0,3,21,4,4,5,4,1,3,20,5,5,4,1,1,4,10,3,0,4,5,1,2,38,88,126
14,0,4,5,0,12,5,1,5,17,1,1,1,4,1,0,17,1,1,1,1,1,0,4,5,0,10,5,1,4,17,88,105
12,0,3,5,1,14,2,1,6,12,2,0,0,2,1,1,12,2,0,0,2,1,1,3,5,1,13,2,1,4,13,79,92
12,0,3,5,1,13,2,1,4,2,8,0,14,2,1,7,12,2,0,0,2,1,1,12,2,0,0,2,1,1,13,79,92
10,0,6,5,2,0,2,1,0,4,7,0,14,2,1,6,10,2,0,0,2,1,1,6,5,2,12,5,1,4,26,70,96
10,0,5,5,5,12,1,1,5,8,3,0,2,5,0,3,8,1,0,2,5,0,1,5,5,5,15,3,1,4,10,70,80
8,0,8,5,2,12,2,1,5,23,1,1,1,4,1,0,23,1,1,1,4,1,0,8,5,2,10,5,1,4,48,61,109
2,0,2,1,0,0,2,1,0,26,3,2,0,2,1,2,8,4,3,10,4,1,3,8,2,1,10,4,1,1,19,145,164
2,0,2,2,0,0,2,1,1,26,3,2,0,2,1,2,8,4,3,10,4,1,3,8,2,1,10,4,1,1,19,146,165
9,0,9,3,2,8,5,1,2,9,3,3,10,5,0,3,23,3,3,2,4,1,2,24,3,3,3,4,1,2,5,122,127
12,0,12,2,1,2,5,0,2,13,2,1,3,5,0,2,24,4,4,6,4,1,3,25,4,4,7,4,1,3,41,110,151
13,0,13,2,0,0,2,1,1,15,3,1,0,2,1,2,27,4,4,10,4,1,3,27,2,2,10,4,1,1,64,104,168
14,0,4,5,0,10,5,1,4,2,7,0,12,2,1,6,17,1,1,1,4,1,0,17,1,1,1,4,1,0,21,98,119
14,0,2,5,0,12,5,1,4,0,7,0,14,2,1,6,14,2,0,0,2,1,1,14,1,0,0,2,1,0,12,98,110
15,0,2,6,0,13,2,1,5,1,8,0,14,2,1,7,15,2,0,0,2,1,1,15,2,0,0,2,1,1,15,92,107
15,0,2,6,0,13,2,1,5,1,8,0,14,2,1,7,15,2,0,0,2,1,1,15,2,0,0,2,1,1,16,91,107
15,0,0,5,5,15,3,1,4,27,7,7,12,1,1,6,13,3,0,2,5,0,3,13,1,0,2,5,0,1,4,91,95
15,0,30,5,5,2,5,0,1,27,7,7,12,4,1,6,13,3,0,2,5,0,3,30,5,5,15,4,1,4,4,91,95
8,0,3,5,0,11,4,1,4,30,6,6,8,4,1,5,12,4,2,6,5,1,3,13,2,2,9,5,0,2,60,64,124
8,0,3,5,0,11,4,1,4,30,6,6,8,4,1,5,12,4,2,6,5,1,3,13,2,2,9,5,0,2,20,64,84
8,0,3,5,0,11,4,1,4,30,6,6,8,4,1,5,12,4,2,6,5,1,3,13,2,2,9,5,0,2,15,64,79
8,0,1,6,0,9,4,1,5,29,5,5,7,4,1,4,10,3,2,8,5,1,2,11,1,1,11,5,0,1,6,64,70
15,0,30,4,4,5,5,0,2,25,7,7,10,1,1,6,11,3,0,4,5,1,2,30,4,4,15,4,1,3,35,95,130
11,0,24,5,5,13,4,1,3,21,2,2,2,1,1,1,2,5,0,13,2,1,4,24,5,5,5,1,1,4,8,79,87
4,0,12,6,1,0,2,0,2,10,7,4,14,4,1,6,16,2,1,0,2,1,1,12,6,1,14,5,1,5,16,135,151
11,0,24,4,4,13,4,1,4,21,2,2,2,4,1,1,4,6,1,13,2,1,5,24,4,4,5,1,1,3,8,79,87
10,0,25,4,4,13,4,1,4,22,2,2,2,4,1,1,5,6,1,13,5,1,5,25,4,4,5,4,1,3,14,73,87
6,0,11,6,3,0,3,1,0,10,7,1,12,5,1,6,24,1,1,0,4,1,0,11,6,3,11,5,1,5,42,127,169
10,0,25,4,4,12,4,1,5,22,2,2,2,4,1,1,5,6,1,13,5,1,5,25,4,4,5,4,1,3,14,73,87
6,0,11,6,3,0,5,1,1,10,7,1,12,5,1,6,6,1,1,0,3,1,0,11,6,3,11,5,1,5,42,127,169
9,0,28,7,7,15,5,0,2,26,4,4,5,4,1,3,7,2,1,10,5,1,1,28,7,7,7,1,1,6,36,67,103
7,0,6,4,1,5,5,1,2,3,6,1,10,4,1,5,17,2,2,6,5,0,2,6,4,1,13,4,1,3,11,121,132
9,0,24,4,4,11,4,1,5,9,1,1,0,3,1,0,5,8,2,14,4,1,7,24,4,4,3,4,1,3,14,67,81
9,0,7,6,1,0,2,0,2,5,7,1,14,4,1,6,11,2,1,0,2,0,2,7,6,1,14,2,1,5,43,112,155
