p_285,0,4,e_2,53,83,103,2,1,0,9,3,0,0,21,4,4,3,5,4,0,15,4,4,1,5,4,0,2,1,0,2,4,0,1,30,20,50
p_279,0,5,e_2,76,83,108,13,2,2,2,4,0,1,15,2,2,9,5,2,0,9,1,1,7,5,1,0,13,2,2,5,5,2,0,7,25,32
p_277,0,6,e_2,82,83,113,12,1,1,0,3,0,0,13,1,1,11,5,1,0,8,0,0,8,3,0,0,12,1,1,6,5,1,0,1,30,31
p_282,0,7,e_2,66,83,118,16,3,3,5,4,0,1,18,2,2,6,5,2,0,12,2,2,4,5,2,0,16,3,3,2,5,3,0,17,35,52
p_273,0,4,e_1,110,111,127,9,0,0,0,3,0,0,5,1,0,5,4,0,1,23,3,3,5,5,3,0,9,0,0,9,3,0,0,1,16,17
p_271,0,1,e_0,121,125,130,7,1,0,1,4,0,1,20,3,3,2,5,3,0,20,1,1,8,5,1,0,7,1,0,7,4,0,1,4,5,9
p_274,0,8,e_1,88,111,141,10,1,1,7,4,0,1,12,1,0,12,4,0,1,27,7,7,1,5,7,0,10,1,1,8,5,1,0,23,30,53
p_280,0,14,e_2,75,83,141,14,2,2,2,4,0,1,15,2,2,9,5,2,0,10,1,1,6,5,1,0,14,2,2,4,5,2,0,8,58,66
p_276,0,11,e_1,84,111,152,11,1,1,8,3,0,0,13,1,1,11,5,1,0,28,7,7,0,2,7,0,11,1,1,7,5,1,0,27,41,68
p_270,0,9,e_0,122,125,156,7,1,0,1,4,0,1,19,3,3,3,5,3,0,20,1,1,8,5,1,0,7,1,0,7,4,0,1,3,31,34
p_269,0,9,e_3,127,143,172,5,1,0,5,4,0,1,28,3,3,0,5,3,0,18,2,2,4,5,2,0,18,1,1,10,5,1,0,16,29,45
p_275,0,14,e_0,86,125,173,11,1,1,12,2,1,0,8,1,0,8,4,0,1,28,7,7,0,5,7,0,11,1,1,7,5,1,0,39,48,87
p_272,0,10,e_3,113,143,177,9,0,0,9,3,0,0,4,1,0,4,4,0,1,22,3,3,0,5,3,0,22,2,2,6,5,2,0,30,34,64
p_267,0,1,e_2,148,189,194,19,2,2,13,4,0,1,21,2,2,7,5,2,0,12,1,1,10,5,1,0,19,2,2,1,5,2,0,41,5,46
p_255,0,3,e_1,184,187,198,10,0,0,1,4,0,1,14,0,0,14,3,0,0,1,1,0,1,4,0,1,10,0,0,10,3,0,0,3,11,14
p_268,0,2,e_2,144,189,199,20,2,2,14,3,0,0,23,2,2,5,5,2,0,13,1,1,9,5,1,0,20,2,2,0,5,2,0,45,10,55
p_265,0,4,e_1,152,187,203,17,2,2,11,4,0,1,20,2,2,8,5,2,0,12,1,0,12,4,0,1,17,2,2,3,5,2,0,35,16,51
p_254,0,4,e_2,187,189,207,10,0,0,0,4,0,1,14,0,0,14,3,0,0,30,9,9,0,5,9,0,10,0,0,10,3,0,0,2,18,20
p_262,0,5,e_1,157,187,208,16,2,2,10,4,0,1,19,1,1,9,5,1,0,10,1,0,10,4,0,1,16,2,2,4,5,2,0,30,21,51
p_261,0,5,e_1,164,187,208,13,2,2,7,4,0,1,17,1,1,11,5,1,0,8,1,0,8,4,0,1,13,2,2,7,5,2,0,23,21,44
p_266,0,6,e_1,151,187,213,18,2,2,11,2,1,0,20,2,2,8,5,2,0,12,1,0,12,4,0,1,18,2,2,2,5,2,0,36,26,62
p_263,0,7,e_1,154,187,218,17,2,2,11,4,0,1,19,2,2,9,5,2,0,11,1,0,11,4,0,1,17,2,2,3,5,2,0,33,31,64
p_260,0,7,e_1,165,187,218,13,2,2,7,4,0,1,16,1,1,12,5,1,0,8,1,0,8,4,0,1,13,2,2,7,5,2,0,22,31,53
p_258,0,7,e_1,168,187,218,12,2,2,6,4,0,1,15,1,1,13,5,1,0,7,1,0,7,4,0,1,12,2,2,8,5,2,0,19,31,50
p_256,0,10,e_1,182,187,229,10,0,0,1,4,0,1,14,0,0,14,3,0,0,2,1,0,2,4,0,1,10,0,0,10,3,0,0,5,42,47
p_250,0,2,e_2,217,224,232,2,1,0,2,4,0,1,14,0,0,14,3,0,0,23,4,4,7,2,5,0,2,1,0,2,4,0,1,7,8,15
p_264,0,11,e_1,153,187,234,17,2,2,11,4,0,1,20,2,2,8,5,2,0,12,1,0,12,4,0,1,17,2,2,3,5,2,0,34,47,81
p_253,0,5,e_3,190,223,240,10,0,0,10,3,0,0,14,0,0,14,3,0,0,29,9,9,1,5,9,0,8,3,3,0,5,3,0,33,17,50
p_252,0,5,e_3,205,223,240,6,1,0,6,4,0,1,14,0,0,14,3,0,0,26,7,7,4,5,7,0,4,1,1,4,5,1,0,18,17,35
p_257,0,14,e_1,169,187,245,12,2,2,6,4,0,1,15,1,1,13,5,1,0,6,1,0,6,4,0,1,12,2,2,8,5,2,0,18,58,76
p_259,0,15,e_1,167,187,250,12,2,2,6,4,0,1,16,1,1,12,5,1,0,7,1,0,7,4,0,1,12,2,2,8,5,2,0,20,63,83
p_251,0,15,e_2,209,224,273,4,1,0,4,3,0,0,14,0,0,14,3,0,0,25,6,6,5,5,6,0,4,1,0,4,4,0,1,15,49,64
p_248,0,5,e_3,246,257,274,3,1,0,3,4,0,1,14,0,0,14,3,0,0,16,1,1,14,5,1,0,24,1,1,6,5,1,0,11,17,28
p_247,0,5,e_3,250,257,274,2,1,0,2,4,0,1,14,0,0,14,3,0,0,15,0,0,15,3,0,0,22,1,1,8,5,1,0,7,17,24
p_249,0,6,e_3,239,257,279,5,0,0,5,2,1,0,14,0,0,14,3,0,0,18,2,2,12,5,2,0,26,1,1,4,5,1,0,18,22,40
p_241,0,1,e_3,283,299,304,5,1,0,5,4,0,1,8,1,0,8,4,0,1,11,1,0,11,4,0,1,12,1,0,12,4,0,1,16,5,21
p_236,0,1,e_0,305,307,312,15,1,1,0,4,0,1,4,1,0,4,4,0,1,5,1,0,5,4,0,1,15,1,1,1,5,1,0,2,5,7
p_233,0,1,e_1,311,317,322,13,1,1,2,4,0,1,25,6,6,1,2,7,0,3,1,0,3,4,0,1,13,1,1,3,5,1,0,6,5,11
p_242,0,8,e_3,277,299,327,6,1,1,6,5,1,0,10,1,0,10,4,0,1,13,1,0,13,4,0,1,14,1,0,14,4,0,1,22,28,50
p_237,0,7,e_0,304,307,332,15,1,1,1,4,0,1,4,1,0,4,4,0,1,5,1,0,5,4,0,1,15,1,1,1,5,1,0,3,25,28
p_230,0,3,e_2,319,320,333,10,1,1,0,3,0,0,23,6,6,3,5,6,0,16,4,4,0,5,4,0,10,1,1,6,5,1,0,1,13,14
p_232,0,5,e_1,314,317,336,12,1,1,1,4,0,1,25,6,6,1,5,6,0,2,1,0,2,4,0,1,12,1,1,4,5,1,0,3,19,22
